channel1,channel2,channel3
118365,300263,387580
118424,300480,387724
118530,300458,387771
118677,300543,387757
118762,300319,387646
118865,300374,387486
118988,300426,387499
119139,300431,387464
119178,300370,387376
119019,300334,387515
118643,300306,387477
118086,300067,387440
117485,299906,387008
116990,299541,386676
116751,299011,385411
116821,298391,384377
117015,298514,384014
117209,298657,383702
117455,298604,383658
117501,298898,383652
117655,298918,383899
117772,298960,383877
117833,299092,384157
117873,299456,384408
117859,299477,384666
117826,299681,385042
117792,299787,385255
117719,299823,385668
117692,299921,385828
117635,300044,386368
117584,300133,386435
117616,300429,386802
117616,300622,387176
117654,301065,387824
117703,301519,388447
117762,302150,389455
117877,302410,389944
117964,302543,390253
118088,302670,390554
118184,302781,390841
118224,302944,391170
118328,302818,391250
118359,302688,391325
118455,303024,392117
118076,302919,392750
117252,302428,393724
119841,303783,404441
126024,306718,425792
134868,313307,454691
128149,283025,426338
101959,262482,409938
82258,246098,393554
65910,229714,377170
62820,213330,360786
63415,196946,344402
64758,180562,328018
68140,164178,311634
74774,160793,295250
87422,189162,299571
101533,228702,344063
108741,262115,376831
110636,292153,409574
103387,299189,409892
98459,301299,400155
96838,300985,394150
97362,301906,391655
96668,300971,387508
96720,299367,385319
96598,297628,383059
97004,298693,383849
97402,300280,384728
97798,301316,385293
98090,301713,385608
98391,301777,385801
98736,301989,385837
99111,302178,386075
99426,302433,386376
99819,302644,386484
100149,302779,386761
100475,302837,387003
100703,302705,387008
100933,302881,387173
101180,302830,387328
101500,302641,387468
101931,302805,387776
102515,302888,388161
103077,303381,388828
103577,303748,389312
104001,304023,389563
104397,304338,390171
104753,304455,390364
105092,304455,390474
105285,304403,390487
105259,304269,390397
105103,303996,390383
104878,303749,390214
104683,303466,389980
104552,303337,389739
104518,303058,389676
104594,303042,389718
104680,302865,389419
104788,302803,389504
104926,302741,389412
105038,302628,389358
105180,302626,389393
105344,302697,389436
105492,302667,389462
105603,302723,389400
105645,302631,389351
105727,302592,389334
105790,302682,389372
105817,302675,389364
105881,302825,389459
105920,302923,389530
105950,302856,389397
105963,302982,389612
106020,303145,389386
106142,303131,389585
106257,303100,389661
106381,303196,389855
106540,303248,389934
106680,303315,389833
106823,303345,390007
106983,303298,389889
107115,303466,389850
107256,303334,389959
107404,303487,390112
107618,303629,390235
107721,303569,390135
107759,303632,390322
107625,303518,390164
107367,303354,390192
107063,303178,389963
106820,303048,389965
106708,302941,389921
106640,302824,389930
106730,302936,390090
106851,302938,390092
106943,302944,390169
107057,302990,389992
107129,303042,390105
107280,302947,390109
107379,303007,390128
107509,303087,390273
107569,303093,390279
107654,303239,390196
107696,303255,390427
107779,303264,390350
107812,303355,390402
107902,303241,390423
107978,303333,390424
108168,303348,390330
108270,303422,390565
108340,303396,390634
108495,303681,390767
108598,303676,390699
108723,303623,390726
108848,303604,390927
108945,303725,390753
109034,303717,390825
109111,303836,390584
109199,303789,390831
109328,303819,390695
109410,303830,390825
109508,303898,390809
109419,303843,390843
109163,303639,390823
108792,303540,390516
108426,303351,390518
108108,303368,390442
107933,303305,390499
107777,303307,390469
107756,303121,390565
107754,303056,390684
107800,303089,390437
107795,303181,390440
107813,303268,390462
107865,303216,390419
107950,303198,390372
108030,303145,390523
108087,303270,390648
108120,303241,390548
108146,303217,390546
108190,303204,390640
108235,303323,390554
108320,303362,390645
108385,303399,390692
108498,303375,390723
108637,303361,390599
108737,303389,390633
108861,303500,390738
108965,303395,390661
109083,303476,390696
109209,303578,390755
109301,303620,390950
109403,303690,390902
109516,303860,390941
109604,303726,391044
109723,303872,390934
109827,303869,391098
109909,303950,390922
110001,303838,391083
109839,303736,390951
109542,303584,390842
109108,303419,390799
108720,303198,390605
108398,303103,390453
108257,303165,390478
108178,303096,390438
108198,303040,390590
108190,302880,390595
108202,302874,390544
108211,302953,390728
108211,302982,390564
108254,303015,390519
108298,302983,390500
108363,303043,390657
108399,302943,390605
108444,303167,390631
